epoch,step,test/pr/rmse,test/pr/time_mean_rmse,test/pr/time_std_mae,test/tas/rmse,test/tas/time_mean_rmse,test/tas/time_std_mae,train/loss,val/loss,val/pr/rmse,val/pr/time_mean_rmse,val/pr/time_std_mae,val/tas/rmse,val/tas/time_mean_rmse,val/tas/time_std_mae
0,42,,,,,,,,0.7152367234230042,2.847926378250122,1.0291223526000977,1.6514328718185425,5.4831767082214355,4.089655876159668,1.3221691846847534
0,42,,,,,,,0.8804004192352295,,,,,,,
1,85,,,,,,,,0.6383723616600037,2.725524663925171,0.8355612754821777,1.5049275159835815,4.4989914894104,2.9108543395996094,1.1827313899993896
1,85,,,,,,,0.6053560972213745,,,,,,,
2,128,,,,,,,,0.6012207865715027,2.6636767387390137,0.7936297655105591,1.417690634727478,3.985807180404663,2.163926362991333,1.1592434644699097
2,128,,,,,,,0.5505310297012329,,,,,,,
3,171,,,,,,,,0.629581093788147,2.750276803970337,0.9944523572921753,1.4443413019180298,3.7437658309936523,1.7687859535217285,1.179330587387085
3,171,,,,,,,0.5279601216316223,,,,,,,
4,214,,,,,,,,0.6331080794334412,2.756087064743042,1.0518828630447388,1.3704309463500977,3.8560807704925537,1.98893404006958,1.1390000581741333
4,214,,,,,,,0.5054103136062622,,,,,,,
5,257,,,,,,,,0.44202515482902527,2.2311675548553467,0.5148197412490845,1.04976224899292,3.985739231109619,2.1406617164611816,1.4735349416732788
5,257,,,,,,,0.4454866051673889,,,,,,,
6,300,,,,,,,,0.3934206962585449,2.132023572921753,0.528332531452179,0.88572096824646,3.114780902862549,1.6648151874542236,0.7521449327468872
6,300,,,,,,,0.3813188374042511,,,,,,,
7,343,,,,,,,,0.37405523657798767,2.059924602508545,0.40141990780830383,0.8766703605651855,3.087193727493286,1.7490240335464478,0.743704617023468
7,343,,,,,,,0.34920361638069153,,,,,,,
8,386,,,,,,,,0.34576281905174255,2.0197458267211914,0.3973633348941803,0.8111658096313477,2.544503927230835,1.333524227142334,0.6915473937988281
8,386,,,,,,,0.338307648897171,,,,,,,
9,429,,,,,,,,0.35762959718704224,2.054136037826538,0.4516395628452301,0.8748381733894348,2.770935535430908,1.6891305446624756,0.6675973534584045
9,429,,,,,,,0.3316470682621002,,,,,,,
10,472,,,,,,,,0.3360605835914612,1.9986670017242432,0.3431713581085205,0.766112208366394,2.2885782718658447,1.1930660009384155,0.5998829007148743
10,472,,,,,,,0.33431437611579895,,,,,,,
11,515,,,,,,,,0.3338834345340729,2.001924991607666,0.37206074595451355,0.8314500451087952,2.3907930850982666,1.5195019245147705,0.6828421950340271
11,515,,,,,,,0.3088288903236389,,,,,,,
12,558,,,,,,,,0.3272188901901245,1.9862912893295288,0.39284953474998474,0.8187623023986816,2.131687879562378,1.1800713539123535,0.5568780303001404
12,558,,,,,,,0.3039560616016388,,,,,,,
13,601,,,,,,,,0.3260810375213623,1.9825690984725952,0.343345046043396,0.8084802031517029,1.9896005392074585,1.0342843532562256,0.564207136631012
13,601,,,,,,,0.3004404306411743,,,,,,,
14,644,,,,,,,,0.32199761271476746,1.9783071279525757,0.35430923104286194,0.8057399988174438,1.9186910390853882,1.0140199661254883,0.46387168765068054
14,644,,,,,,,0.30256345868110657,,,,,,,
15,687,,,,,,,,0.32372093200683594,1.9770123958587646,0.3452223241329193,0.7682567238807678,2.0427181720733643,1.0866003036499023,0.4617380201816559
15,687,,,,,,,0.2992820143699646,,,,,,,
16,730,,,,,,,,0.3223213255405426,1.972946047782898,0.3223741054534912,0.8392864465713501,2.0014004707336426,1.0471121072769165,0.5570740699768066
16,730,,,,,,,0.29656118154525757,,,,,,,
17,773,,,,,,,,0.3285139799118042,1.9969185590744019,0.3403814136981964,0.8086428642272949,1.9838639497756958,1.0676627159118652,0.5895373225212097
17,773,,,,,,,0.2961658537387848,,,,,,,
18,816,,,,,,,,0.3406159281730652,2.0402960777282715,0.4345751702785492,0.8514360189437866,1.877476453781128,0.8070433735847473,0.46132516860961914
18,816,,,,,,,0.30256688594818115,,,,,,,
19,859,,,,,,,,0.3266037702560425,1.9816228151321411,0.3276822566986084,0.799785852432251,2.111248016357422,1.1737486124038696,0.6177731156349182
19,859,,,,,,,0.31933850049972534,,,,,,,
20,902,,,,,,,,0.31385350227355957,1.957024335861206,0.2940467894077301,0.7353411316871643,1.7631181478500366,0.885128915309906,0.38598135113716125
20,902,,,,,,,0.2951242923736572,,,,,,,
